# Region type : cellZone waterZone
#   Cells  : 318566
#   Volume : 1.912265e-03
#        Time	volAverage(W1)	volAverage(W2)	volAverage(L1)	volAverage(L2)	volAverage(sigma)
55.7310509908918519	1.307041e-01	1.161902e-01	1.461122e+00	2.294284e+00	1.327270e-01
55.7311104432705235	1.307041e-01	1.161902e-01	1.461137e+00	2.294124e+00	1.327237e-01
55.7311698959046637	1.307041e-01	1.161902e-01	1.461152e+00	2.293759e+00	1.327216e-01
55.7312207097115362	1.307041e-01	1.161902e-01	1.461159e+00	2.293779e+00	1.327162e-01
55.731260284125689	1.307041e-01	1.161903e-01	1.461174e+00	2.293983e+00	1.327118e-01
55.7312922571687892	1.307041e-01	1.161903e-01	1.461176e+00	2.294066e+00	1.327089e-01
55.7313190860636638	1.307041e-01	1.161903e-01	1.461162e+00	2.293653e+00	1.327075e-01
55.7313418756472672	1.307041e-01	1.161903e-01	1.461192e+00	2.294099e+00	1.327082e-01
55.7313615038726127	1.307041e-01	1.161903e-01	1.461202e+00	2.293967e+00	1.327077e-01
55.7313786550183039	1.307042e-01	1.161904e-01	1.461210e+00	2.293961e+00	1.327090e-01
55.731393844113704	1.307042e-01	1.161904e-01	1.461205e+00	2.293891e+00	1.327100e-01
55.731407433263719	1.307043e-01	1.161905e-01	1.461167e+00	2.293814e+00	1.328297e-01
55.7314197086249905	1.307044e-01	1.161905e-01	1.461186e+00	2.293694e+00	1.328260e-01
55.7314309396052465	1.307045e-01	1.161906e-01	1.461255e+00	2.293772e+00	1.327179e-01
55.7314413680892287	1.307046e-01	1.161907e-01	1.461268e+00	2.293912e+00	1.327192e-01
55.7314513736619119	1.307048e-01	1.161909e-01	1.461305e+00	2.293998e+00	1.327218e-01
55.7314614335330631	1.307050e-01	1.161911e-01	1.461339e+00	2.294768e+00	1.327252e-01
55.7314725112566833	1.307054e-01	1.161914e-01	1.461340e+00	2.295444e+00	1.327364e-01
55.7314849808885171	1.307060e-01	1.161918e-01	1.461356e+00	2.297098e+00	1.327496e-01
55.7314989636124096	1.307066e-01	1.161923e-01	1.461365e+00	2.296696e+00	1.327529e-01
55.7315146116798772	1.307074e-01	1.161929e-01	1.461419e+00	2.296468e+00	1.328805e-01
55.7315320762889712	1.307082e-01	1.161935e-01	1.461444e+00	2.296515e+00	1.327709e-01
55.731551510619596	1.307091e-01	1.161942e-01	1.461482e+00	2.296636e+00	1.327740e-01
55.7315727067483166	1.307100e-01	1.161949e-01	1.461540e+00	2.297346e+00	1.327763e-01
55.7315953249005744	1.307108e-01	1.161955e-01	1.461552e+00	2.296907e+00	1.327768e-01
55.7316191040878692	1.307115e-01	1.161961e-01	1.461607e+00	2.297212e+00	1.327771e-01
55.7316436827680661	1.307122e-01	1.161967e-01	1.461637e+00	2.297243e+00	1.327784e-01
55.7316689004085788	1.307128e-01	1.161972e-01	1.461687e+00	2.297741e+00	1.327817e-01
55.7316950685578334	1.307134e-01	1.161977e-01	1.461709e+00	2.297403e+00	1.327821e-01
55.7317235933639381	1.307140e-01	1.161982e-01	1.461756e+00	2.297353e+00	1.327835e-01
55.7317546585207566	1.307146e-01	1.161986e-01	1.461797e+00	2.297604e+00	1.327857e-01
55.7317866033030498	1.307151e-01	1.161991e-01	1.461842e+00	2.298043e+00	1.327876e-01
55.7318200073502581	1.307155e-01	1.161995e-01	1.461878e+00	2.298599e+00	1.327880e-01
55.7318553541160071	1.307160e-01	1.161998e-01	1.461897e+00	2.298328e+00	1.327884e-01
55.7318930727794424	1.307165e-01	1.162002e-01	1.461926e+00	2.298927e+00	1.327895e-01
55.7319337862673621	1.307169e-01	1.162005e-01	1.461953e+00	2.298657e+00	1.327888e-01
55.7319781678690518	1.307174e-01	1.162009e-01	1.461993e+00	2.298510e+00	1.327882e-01
55.7320259379729848	1.307178e-01	1.162012e-01	1.462006e+00	2.298519e+00	1.327860e-01
55.7320776803160101	1.307183e-01	1.162016e-01	1.462061e+00	2.298903e+00	1.327887e-01
55.7321341527696248	1.307187e-01	1.162020e-01	1.462094e+00	2.298991e+00	1.327880e-01
55.7321939125629555	1.307192e-01	1.162023e-01	1.462150e+00	2.299210e+00	1.327872e-01
55.7322536576829677	1.307200e-01	1.162023e-01	1.462199e+00	2.299187e+00	1.327864e-01
55.7323133798849852	1.307204e-01	1.162027e-01	1.462241e+00	2.299417e+00	1.327858e-01
55.7323730855537463	1.307208e-01	1.162030e-01	1.462286e+00	2.299281e+00	1.327853e-01
55.7324327847911292	1.307211e-01	1.162034e-01	1.462336e+00	2.299758e+00	1.327843e-01
55.7324924926475447	1.307215e-01	1.162037e-01	1.462362e+00	2.300117e+00	1.327818e-01
55.7325522237421396	1.307218e-01	1.162040e-01	1.462377e+00	2.299815e+00	1.327786e-01
55.7326119948498118	1.307221e-01	1.162042e-01	1.462414e+00	2.300050e+00	1.327767e-01
55.7326718298618573	1.307224e-01	1.162044e-01	1.462441e+00	2.300216e+00	1.327734e-01
55.7327317503495081	1.307226e-01	1.162046e-01	1.462469e+00	2.300161e+00	1.327698e-01
55.7327917699192099	1.307229e-01	1.162048e-01	1.462490e+00	2.299964e+00	1.327641e-01
55.7328518935023496	1.307231e-01	1.162050e-01	1.462503e+00	2.299739e+00	1.327633e-01
55.7329121175256645	1.307233e-01	1.162052e-01	1.462505e+00	2.300231e+00	1.327650e-01
55.7329713785064271	1.307235e-01	1.162054e-01	1.462509e+00	2.300667e+00	1.327642e-01
55.7330271100819843	1.307237e-01	1.162055e-01	1.462484e+00	2.300359e+00	1.327634e-01
55.7330875147008697	1.307239e-01	1.162057e-01	1.462495e+00	2.300400e+00	1.327636e-01
55.7331479687842304	1.307241e-01	1.162059e-01	1.462573e+00	2.300530e+00	1.327607e-01
55.7332084480269785	1.307243e-01	1.162060e-01	1.462602e+00	2.299892e+00	1.327558e-01
55.7332689350763957	1.307245e-01	1.162062e-01	1.462636e+00	2.300326e+00	1.327512e-01
55.7333294144246238	1.307247e-01	1.162063e-01	1.462681e+00	2.300482e+00	1.327479e-01
55.7333898743369716	1.307249e-01	1.162065e-01	1.462710e+00	2.300571e+00	1.327431e-01
55.7334503073823413	1.307254e-01	1.162063e-01	1.462754e+00	2.300957e+00	1.327395e-01
