U.waterMean:0,U.waterMean:1,U.waterMean:2,U.air:0,U.air:1,U.air:2,U.water:0,U.water:1,U.water:2,U.airMean:0,U.airMean:1,U.airMean:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-0.069295,1.5299,0.51146,-1.487,1.2956,0.42005,-0.12074,1.5167,0.5366,-1.3003,1.2932,0.41951,1,0.04992,0.034,0.034,0.13208
-0.065872,1.3987,0.58661,-1.1541,1.2605,0.46218,-0.11309,1.3806,0.5995,-1.0117,1.2635,0.45893,1,0.05096,0.034,0.034,0.13104
-0.060155,1.2418,0.6247,-0.83635,1.2037,0.47709,-0.10169,1.2214,0.62375,-0.72849,1.211,0.47738,1,0.052,0.034,0.034,0.13
-0.044486,1.0851,0.58619,-0.62425,1.0815,0.4816,-0.08318,1.0644,0.5848,-0.53463,1.0849,0.4719,1,0.05304,0.034,0.034,0.12896
-0.028752,0.93168,0.54356,-0.43169,0.95258,0.48816,-0.065349,0.91026,0.54343,-0.35697,0.95325,0.4667,1,0.05408,0.034,0.034,0.12792
-0.01284,0.78733,0.48939,-0.29364,0.80499,0.50043,-0.049421,0.76414,0.49532,-0.2245,0.80607,0.46228,1,0.05512,0.034,0.034,0.12688
0.00003759,0.65013,0.43761,-0.19308,0.63369,0.50671,-0.036374,0.62507,0.44957,-0.13134,0.6418,0.45966,1,0.05616,0.034,0.034,0.12584
0.0102,0.51931,0.38795,-0.12605,0.44117,0.50762,-0.025904,0.49231,0.40592,-0.073332,0.46226,0.45864,1,0.0572,0.034,0.034,0.1248
0.019058,0.40537,0.34978,-0.11222,0.25611,0.51979,-0.014963,0.37703,0.37286,-0.063915,0.28735,0.46957,1,0.05824,0.034,0.034,0.12376
0.027586,0.2973,0.31555,-0.11198,0.078863,0.53581,-0.0037218,0.26801,0.34331,-0.066934,0.11826,0.48474,1,0.05928,0.034,0.034,0.12272
0.036354,0.21353,0.29669,-0.10463,0.001287,0.56685,0.010528,0.18717,0.32614,-0.063977,0.027215,0.51864,1,0.06032,0.034,0.034,0.12168
0.043687,0.13849,0.27983,-0.098038,-0.071684,0.60338,0.023248,0.11539,0.3094,-0.060809,-0.054372,0.55968,1,0.06136,0.034,0.034,0.12064
0.047962,0.082061,0.26724,-0.093066,-0.13485,0.65156,0.032709,0.062893,0.29357,-0.057187,-0.1158,0.61598,1,0.0624,0.034,0.034,0.1196
0.049571,0.047214,0.25766,-0.10001,-0.18393,0.70068,0.038773,0.031136,0.28148,-0.06783,-0.16501,0.6682,1,0.06344,0.034,0.034,0.11856
0.049276,0.027782,0.25023,-0.11547,-0.22296,0.75045,0.042409,0.014192,0.27207,-0.088662,-0.20549,0.7175,1,0.06448,0.034,0.034,0.11752
0.045963,0.018311,0.24338,-0.12073,-0.22657,0.78583,0.042001,0.0058596,0.26361,-0.1027,-0.2157,0.75622,1,0.06552,0.034,0.034,0.11648
0.039632,0.018801,0.23711,-0.11577,-0.19474,0.80682,0.03755,0.0061397,0.25612,-0.10994,-0.19565,0.78436,1,0.06656,0.034,0.034,0.11544
0.032009,0.021192,0.23145,-0.10579,-0.15919,0.80454,0.030965,0.0075412,0.24913,-0.1064,-0.1652,0.79062,1,0.0676,0.034,0.034,0.1144
0.022577,0.026242,0.22663,-0.088793,-0.11843,0.7697,0.021394,0.010513,0.24285,-0.087733,-0.12019,0.76626,1,0.06864,0.034,0.034,0.11336
0.015178,0.031342,0.22296,-0.069294,-0.083214,0.73123,0.013825,0.013846,0.23795,-0.066373,-0.080021,0.73442,1,0.06968,0.034,0.034,0.11232
0.011844,0.036542,0.22159,-0.044798,-0.059112,0.68553,0.010257,0.017903,0.23581,-0.039619,-0.049528,0.68759,1,0.07072,0.034,0.034,0.11128
0.0099632,0.03992,0.2221,-0.020784,-0.038279,0.64272,0.0081028,0.020646,0.23536,-0.013478,-0.023404,0.64301,1,0.07176,0.034,0.034,0.11024
0.01244,0.037838,0.22826,0.0017803,-0.027259,0.6086,0.010191,0.01945,0.23996,0.010821,-0.010391,0.60518,1,0.0728,0.034,0.034,0.1092
0.014624,0.03555,0.23389,0.021539,-0.017515,0.57579,0.012078,0.018149,0.2441,0.03204,0.00077732,0.56905,1,0.07384,0.034,0.034,0.10816
0.015346,0.03223,0.23693,0.027268,-0.01416,0.54952,0.01296,0.016325,0.24595,0.037859,0.0027234,0.54147,1,0.07488,0.034,0.034,0.10712
0.016069,0.028911,0.23996,0.032998,-0.010804,0.52326,0.013842,0.014501,0.2478,0.043678,0.0046695,0.51389,1,0.07592,0.034,0.034,0.10608
0.016464,0.025923,0.24253,0.037756,-0.0074539,0.49897,0.014448,0.012936,0.24921,0.048376,0.006608,0.48849,1,0.07696,0.034,0.034,0.10504
0.01401,0.025835,0.24095,0.034047,-0.0041536,0.49186,0.012653,0.013623,0.24684,0.043306,0.0084804,0.48212,1,0.078,0.034,0.034,0.104
0.011555,0.025746,0.23938,0.030338,-0.00085325,0.48475,0.010858,0.01431,0.24447,0.038236,0.010353,0.47575,1,0.07904,0.034,0.034,0.10296
0.0090889,0.025688,0.2379,0.026667,0.0024761,0.47803,0.0090555,0.01501,0.24219,0.033198,0.012292,0.46979,1,0.08008,0.034,0.034,0.10192
0.0063573,0.026362,0.23864,0.023916,0.0065164,0.48073,0.0070594,0.016004,0.24211,0.028936,0.015876,0.47382,1,0.08112,0.034,0.034,0.10088
0.0036256,0.027037,0.23938,0.021165,0.010557,0.48343,0.0050633,0.016998,0.24203,0.024674,0.01946,0.47785,1,0.08216,0.034,0.034,0.09984
0.00089395,0.027712,0.24013,0.018414,0.014597,0.48613,0.0030671,0.017993,0.24195,0.020412,0.023044,0.48188,1,0.0832,0.034,0.034,0.0988
-0.0016745,0.028074,0.24032,0.015865,0.016685,0.48546,0.0011588,0.0185,0.24147,0.016692,0.024871,0.48195,1,0.08424,0.034,0.034,0.09776
-0.0042388,0.028429,0.24051,0.013321,0.018724,0.48471,-0.00074734,0.018995,0.24098,0.012986,0.026653,0.48192,1,0.08528,0.034,0.034,0.09672
